"waybill_no";"org_code";"org_name";"next_org_code";"next_org_name"
"YT4494145576832";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2041048805700";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494635882487";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9149356797875";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150541016697";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9149855390831";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495174660052";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053781340420";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053758987951";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4491564920357";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4492527680874";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493912353711";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4497022537405";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053920330227";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4493552129364";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493994920021";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9149852559104";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053852380700";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053632982555";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053909807068";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494495558006";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495195257800";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150354425166";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150233072406";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053929244116";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9150216913719";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493919057319";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494869586210";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053952883156";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494559221066";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
